Price   ,Bedrooms ,Bathrooms ,Receptions ,Square_Feet ,Address            ,City,Postcode,Tenure,Features                            ,Description  1,Description 2,Property_Type                                                                                   ,New_Build
875000,2,2,1,            ,Ifield Road        ,London   ,SW10   ,Leasehold         ,Barnard Marcus - Earl's Court       ,"Good Transport Links, No Chain, Reduced ",A delightful two double bedroom apartment situated on this highly desirable tree lined street ,Apartment ,No
695000,2,2,1,793,World's End Estate ,London   ,SW10   ,Leasehold         ,Martin & Co - Chelsea Riverside     ,"Balcony, Panoramic Views                ",Spectacular 800 sq ft apartment with balcony and arguably the best view in Chelsea            ,Apartment ,No
500000,1,1,1,411,Finborough Road    ,London   ,SW10   ,Leasehold         ,Martin & Co - Chelsea               ,"Terrace, Dual Aspect                    ",Charming 1 bedroom apartment with terrace in convenient Chelsea location                      ,Apartment ,No
4853000,4,4,1,2166,Chelsea Waterfront ,London   ,SW10   ,Leasehold         ,Allie Home Estate & Lettings Agency ,"River Views, Concierge                  ",Ultra-luxurious apartment with stunning River Thames views                                    ,Apartment ,Yes
2411000,2,2,1,1032,Chelsea Waterfront ,London   ,SW10   ,Leasehold         ,Allie Home Estate & Lettings Agency ,"River Views, Smart Home                 ",Luxurious 2-bed apartment with high-end finishes                                              ,Apartment ,Yes
2008000,3,3,1,1309,Chelsea Waterfront ,London   ,SW10   ,Leasehold         ,Allie Home Estate & Lettings Agency ,"Open Plan, Luxury Finishes              ",2+1 bed apartment with open-plan kitchen                                                      ,Apartment ,Yes
2350000,3,2,1,1421,Harbour Avenue     ,London   ,SW10   ,Leasehold         ,Dexters - New Homes South           ,"Chelsea Harbour, West Facing            ",Luxury three bedroom apartment in sought after Chelsea Harbour                                ,Apartment ,Yes
1500000,2,2,1,990,Harbour Avenue     ,London   ,SW10   ,Leasehold         ,Dexters - New Homes South           ,Contemporary Design                     ,West facing apartment on 3rd floor                                                            ,Apartment ,Yes
2150000,2,2,1,1281,Harbour Avenue     ,London   ,SW10   ,Leasehold         ,Dexters - New Homes South           ,"Luxury Finish, Fourth Floor             ",Two bedroom apartment in Lighterman Towers                                                    ,Apartment ,Yes
875000,2,1,1,537,Park Walk          ,London   ,SW10   ,Share of Freehold ,Hamptons - Chelsea Sales            ,Period Features                         ,Well presented two double bedroom in mansion block                                            ,Apartment ,No
2000000,2,2,1,            ,Fulham Road        ,London   ,SW10   ,Leasehold         ,Aspire - Fulham South               ,"Split Level, Modern Design              ",Stunning split level apartment in heart of Chelsea                                            ,Apartment ,No
