CMDLINE mypy app
MEM 0.046875 1723108948.5545
MEM 0.046875 1723108948.6638
MEM 0.046875 1723108948.7708
MEM 0.046875 1723108948.8771
MEM 0.046875 1723108948.9862
MEM 0.046875 1723108949.0938
MEM 10.968750 1723108949.2021
MEM 10.968750 1723108949.3113
MEM 10.968750 1723108949.4209
MEM 10.968750 1723108949.5268
MEM 10.968750 1723108949.6362
MEM 11.078125 1723108949.7419
MEM 11.078125 1723108949.8512
MEM 11.078125 1723108949.9606
MEM 11.078125 1723108950.0697
MEM 16.093750 1723108950.1790
MEM 16.093750 1723108950.2883
MEM 16.093750 1723108950.3973
MEM 16.093750 1723108950.5034
MEM 16.093750 1723108950.6116
MEM 18.484375 1723108950.7208
MEM 18.484375 1723108950.8298
MEM 18.015625 1723108950.9390
MEM 20.250000 1723108951.0482
MEM 20.250000 1723108951.1574
MEM 20.250000 1723108951.2665
MEM 20.390625 1723108951.3749
MEM 20.390625 1723108951.4844
MEM 20.390625 1723108951.5899
MEM 20.500000 1723108951.6990
MEM 20.500000 1723108951.8071
MEM 20.500000 1723108951.9162
MEM 20.500000 1723108952.0254
MEM 20.500000 1723108952.1345
MEM 20.500000 1723108952.2440
MEM 20.500000 1723108952.3504
MEM 20.500000 1723108952.4544
MEM 20.750000 1723108952.5637
MEM 20.750000 1723108952.6705
MEM 20.750000 1723108952.7796
MEM 20.531250 1723108952.8878
MEM 20.531250 1723108952.9971
MEM 20.359375 1723108953.1017
MEM 20.359375 1723108953.2074
MEM 20.359375 1723108953.3166
MEM 20.156250 1723108953.4249
MEM 20.765625 1723108953.5341
MEM 20.765625 1723108953.6402
MEM 20.765625 1723108953.7493
MEM 20.859375 1723108953.8576
MEM 20.859375 1723108953.9667
MEM 20.859375 1723108954.0760
MEM 21.015625 1723108954.1803
MEM 21.015625 1723108954.2895
MEM 21.093750 1723108954.3990
MEM 21.093750 1723108954.5085
MEM 21.093750 1723108954.6180
MEM 20.515625 1723108954.7274
MEM 20.515625 1723108954.8368
MEM 20.515625 1723108954.9460
MEM 20.593750 1723108955.0555
MEM 20.359375 1723108955.1650
MEM 20.359375 1723108955.2743
MEM 20.562500 1723108955.3835
MEM 19.609375 1723108955.4929
MEM 19.609375 1723108955.6023
MEM 19.765625 1723108955.7087
MEM 19.765625 1723108955.8180
MEM 19.765625 1723108955.9274
MEM 19.859375 1723108956.0367
MEM 19.859375 1723108956.1460
MEM 19.859375 1723108956.2551
MEM 19.562500 1723108956.3606
MEM 19.562500 1723108956.4705
MEM 19.250000 1723108956.5752
