name,address,phone,website,rating,url,scraped_at
Dils Roofing & Solar,"
2230 La Mirada Dr Ste A, Vista, CA 92081, United States","
+1 760-727-6000",https://www.dilsroofing.com/,4.9,https://www.google.com/maps/place/Dils+Roofing+%26+Solar/data=!4m7!3m6!1s0x80dc74f9fedf1b67:0x9664c89d9484bbf4!8m2!3d33.151733!4d-117.2320102!16s%2Fg%2F1tdm408b!19sChIJZxvf_vl03IAR9LuElJ3IZJY?authuser=0&hl=en&rclk=1,2025-04-03T18:25:49.254727
The Roof Masters,"
2304 La Mirada Dr, Vista, CA 92081, United States","
+1 844-766-3968",http://socalroofmasters.com/,4.8,https://www.google.com/maps/place/The+Roof+Masters/data=!4m7!3m6!1s0x80dc70420998e5df:0x5b5756596b72f499!8m2!3d33.1502258!4d-117.2281596!16s%2Fg%2F11clv59hjx!19sChIJ3-WYCUJw3IARmfRya1lWV1s?authuser=0&hl=en&rclk=1,2025-04-03T18:25:52.848079
Dana Logsdon Roofing & Solar,"
1483 Cuyamaca St, El Cajon, CA 92020, United States","
+1 619-390-8177",https://www.roofon.com/?utm_source=organic&utm_medium=google_business_profile,4.8,https://www.google.com/maps/place/Dana+Logsdon+Roofing+%26+Solar/data=!4m7!3m6!1s0x80d954db2966008d:0x6002a45a61ac0587!8m2!3d32.8154973!4d-116.9796444!16s%2Fg%2F11bbrcgg9f!19sChIJjQBmKdtU2YARhwWsYVqkAmA?authuser=0&hl=en&rclk=1,2025-04-03T18:25:56.003689
Build Brothers Inc.,"
7765 Arjons Dr, San Diego, CA 92126, United States","
+1 760-566-7734",http://www.buildbrothersinc.com/,5.0,https://www.google.com/maps/place/Build+Brothers+Inc./data=!4m7!3m6!1s0x80dc756b149f32d5:0xf3c54ebfb903988c!8m2!3d32.893511!4d-117.1519348!16s%2Fg%2F11bbrlc68t!19sChIJ1TKfFGt13IARjJgDub9OxfM?authuser=0&hl=en&rclk=1,2025-04-03T18:25:59.070712
"Mark Anthony Construction and Roofing, Inc.","
133 N Pacific St Suite A, San Marcos, CA 92069, United States","
+1 760-803-7534",http://www.markanthonyconstructionandroofing.com/,4.9,"https://www.google.com/maps/place/Mark+Anthony+Construction+and+Roofing,+Inc./data=!4m7!3m6!1s0x80dc0a98e32fa6ff:0xd552354b6ec16e7d!8m2!3d33.1485531!4d-117.1936273!16s%2Fg%2F1tdg82pl!19sChIJ_6Yv45gK3IARfW7Bbks1UtU?authuser=0&hl=en&rclk=1",2025-04-03T18:26:02.550426
Peak Builders & Roofers of San Diego,"
8340 Vickers St K, San Diego, CA 92111, United States","
+1 619-566-1911",https://peakbuilderssd.com/,5.0,https://www.google.com/maps/place/Peak+Builders+%26+Roofers+of+San+Diego/data=!4m7!3m6!1s0x8e4cefb250d9c67b:0x6414c7ec91cd2964!8m2!3d32.8277444!4d-117.1470366!16s%2Fg%2F11q2xj5c05!19sChIJe8bZULLvTI4RZCnNkezHFGQ?authuser=0&hl=en&rclk=1,2025-04-03T18:26:05.822641
"Pioneer Roofing Company, LLC",,"
+1 619-432-7663",https://www.pioneerroofer.com/,5.0,"https://www.google.com/maps/place/Pioneer+Roofing+Company,+LLC/data=!4m7!3m6!1s0x80d9552d4048b371:0x3245aaff9dc575a3!8m2!3d32.8244879!4d-117.10776!16s%2Fg%2F11jjlq9txm!19sChIJcbNIQC1V2YARo3XFnf-qRTI?authuser=0&hl=en&rclk=1",2025-04-03T18:26:09.112619
Protecta Roofing Inc.,"
3184 Oleander Ave, San Marcos, CA 92078, United States","
+1 760-224-2494",http://www.protectaroofingconstruction.com/,4.8,https://www.google.com/maps/place/Protecta+Roofing+Inc./data=!4m7!3m6!1s0x80dbf34863fbfa05:0xfe4de07f02282157!8m2!3d33.1531598!4d-117.2062153!16s%2Fg%2F11ckcjjgsc!19sChIJBfr7Y0jz24ARVyEoAn_gTf4?authuser=0&hl=en&rclk=1,2025-04-03T18:26:12.557737
Shadowcrest Roofing Inc,"
285 Pawnee St # C, San Marcos, CA 92078, United States","
+1 760-593-0300",http://www.shadowcrestroofing.com/,5.0,https://www.google.com/maps/place/Shadowcrest+Roofing+Inc/data=!4m7!3m6!1s0x80dc750971923e11:0xa3f7839d46e58946!8m2!3d33.1431416!4d-117.1998728!16s%2Fg%2F1vv2sjp9!19sChIJET6ScQl13IARRonlRp2D96M?authuser=0&hl=en&rclk=1,2025-04-03T18:26:16.229550
Davis Roofing,,"
+1 619-440-0373",http://www.davisfamilyroofing.com/,5.0,https://www.google.com/maps/place/Davis+Roofing/data=!4m7!3m6!1s0x80dbe2b68bf235fb:0x109b790e2c0fe492!8m2!3d33.0169285!4d-116.8460104!16s%2Fg%2F11g6r3yfmd!19sChIJ-zXyi7bi24ARkuQPLA55mxA?authuser=0&hl=en&rclk=1,2025-04-03T18:26:19.671928
